"ps","pobl","pmb","area","compl","nro_edif","tiposecurb","urb","ste","nro","nro_apart","tipo_via","calle","sector","cod_post","pais","x","y","lat","lon","location"
"477575","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-9",,"CALLE","420",,"985","PR","249556","263851","18.4097","-65.9643","(18.4097, -65.9643)"
"477562","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-8",,"CALLE","420",,"985","PR","249556","263864","18.4098","-65.9643","(18.4098, -65.9643)"
"477510","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-2",,"CALLE","420",,"985","PR","249556","263942","18.4105","-65.9643","(18.4105, -65.9643)"
"477498","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"110-23",,"CALLE","81",,"985","PR","249712","262740","18.3996","-65.9629","(18.3996, -65.9629)"
"477454","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-24",,"CALLE","422",,"985","PR","249516","263958","18.4106","-65.9647","(18.4106, -65.9647)"
"477443","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"108-51",,"CALLE","75",,"985","PR","249766","262735","18.3996","-65.9623","(18.3996, -65.9623)"
"477434","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-23",,"CALLE","422",,"985","PR","249518","263943","18.4105","-65.9647","(18.4105, -65.9647)"
"477427","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-22",,"CALLE","422",,"985","PR","249517","263930","18.4104","-65.9647","(18.4104, -65.9647)"
"477419","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-21",,"CALLE","422",,"985","PR","249520","263916","18.4102","-65.9646","(18.4102, -65.9646)"
"477404","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-20",,"CALLE","422",,"985","PR","249519","263904","18.4101","-65.9647","(18.4101, -65.9647)"
"477396","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-19",,"CALLE","422",,"985","PR","249519","263890","18.41","-65.9647","(18.41, -65.9647)"
"477393","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"108-49",,"CALLE","75",,"985","PR","249766","262762","18.3998","-65.9623","(18.3998, -65.9623)"
"477383","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-16",,"CALLE","422",,"985","PR","249518","263851","18.4097","-65.9647","(18.4097, -65.9647)"
"477241","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"150-4",,"CALLE","424",,"985","PR","249549","263783","18.409","-65.9644","(18.409, -65.9644)"
"477253","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"161-14",,"CALLE","422",,"985","PR","249521","263823","18.4094","-65.9646","(18.4094, -65.9646)"
"477130","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"109-15",,"CALLE","81",,"985","PR","249699","262760","18.3998","-65.963","(18.3998, -65.963)"
"474090","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA",,"162-3",,"CALLE","422",,"985","PR","249493","263933","18.4104","-65.9649","(18.4104, -65.9649)"
"474079","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"109-12",,"CALLE","81",,"985","PR","249659","262762","18.3998","-65.9634","(18.3998, -65.9634)"
"474064","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"109-10",,"CALLE","81",,"985","PR","249631","262759","18.3998","-65.9636","(18.3998, -65.9636)"
"474028","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"109-8",,"CALLE","81",,"985","PR","249604","262760","18.3998","-65.9639","(18.3998, -65.9639)"
"474027","CAROLINA","BUENA VISTA",,,,"URB","VILLA CAROLINA 3RA SECC",,"109-7",,"CALLE","81",,"985","PR","249587","262758","18.3998","-65.964","(18.3998, -65.964)"
